TK_CONST_DATA_ALIGN(const unsigned char image_check_checked_d[]) = {
0x02,0x00,0x01,0x01,0x1c,0x03,0x00,0x00,0x00,0x00,0x00,0x00,0x63,0x68,0x65,0x63,0x6b,0x5f,0x63,0x68,
0x65,0x63,0x6b,0x65,0x64,0x5f,0x64,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,
0x00,0x00,0x00,0x00,0x0e,0x00,0x0e,0x00,0x02,0x00,0x01,0x00,0x00,0x00,0x00,0x00,0x80,0x80,0x80,0x1f,
0x80,0x80,0x80,0x4a,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,
0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,
0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4a,0x80,0x80,0x80,0x20,0x80,0x80,0x80,0x4a,0xe2,0xe2,0xe2,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0xe2,0xe2,0xe2,0x4d,0x80,0x80,0x80,0x4a,0x80,0x80,0x80,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf6,0xf6,0xf6,0x4d,
0xf1,0xf1,0xf1,0x4d,0xdb,0xdb,0xdb,0x4d,0xef,0xef,0xef,0x4d,0xf7,0xf7,0xf7,0x4d,0x80,0x80,0x80,0x4d,
0x80,0x80,0x80,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf7,0xf7,0xf7,0x4d,0xf6,0xf6,0xf6,0x4d,0xeb,0xeb,0xeb,0x4d,0x90,0x90,0x90,0x4d,
0xcb,0xcb,0xcb,0x4d,0xd7,0xd7,0xd7,0x4d,0xf7,0xf7,0xf7,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,
0xf7,0xf7,0xf7,0x4d,0xf6,0xf6,0xf6,0x4d,0xf0,0xf0,0xf0,0x4d,0xdd,0xdd,0xdd,0x4d,0xf5,0xf5,0xf5,0x4d,
0xf6,0xf6,0xf6,0x4d,0xeb,0xeb,0xeb,0x4d,0x87,0x87,0x87,0x4d,0x7b,0x7b,0x7b,0x4d,0xcd,0xcd,0xcd,0x4d,
0xf3,0xf3,0xf3,0x4d,0xf7,0xf7,0xf7,0x4d,0x80,0x80,0x80,0x4d,0x80,0x80,0x80,0x4d,0xf7,0xf7,0xf7,0x4d,
0xe7,0xe7,0xe7,0x4d,0x9b,0x9b,0x9b,0x4d,0xd7,0xd7,0xd7,0x4d,0xd8,0xd8,0xd8,0x4d,0xea,0xea,0xea,0x4d,
0x88,0x88,0x88,0x4d,0x7b,0x7b,0x7b,0x4d,0xcb,0xcb,0xcb,0x4d,0xf3,0xf3,0xf3,0x4d,0xf7,0xf7,0xf7,0x4d,
